tag,cfarGrdCellRange,cfarTrnCellRange,cfarGrdCellVelocity,cfarTrnCellVelocity,cfarThreshold,cfarThreshold_dB,TP,FP,FN,precision,recall,F1,meanPosErr3D,meanAbsVelErr,avgFPperDrop,score
GR4_TR10_GV2_TV8_TH21.0dB,4,10,2,8,125.892541179417,21,36,1,14,0.972972972972973,0.72,0.827586206896552,3.92274189205934,2.15204421061409,0.1,0.586408228081303
GR6_TR10_GV2_TV8_TH21.0dB,6,10,2,8,125.892541179417,21,36,1,14,0.972972972972973,0.72,0.827586206896552,3.92274189205934,2.15204421061409,0.1,0.586408228081303
GR8_TR10_GV2_TV8_TH21.0dB,8,10,2,8,125.892541179417,21,36,1,14,0.972972972972973,0.72,0.827586206896552,3.92274189205934,2.15204421061409,0.1,0.586408228081303
GR4_TR10_GV2_TV10_TH21.0dB,4,10,2,10,125.892541179417,21,36,1,14,0.972972972972973,0.72,0.827586206896552,3.92274189205934,2.15204421061409,0.1,0.586408228081303
GR4_TR10_GV2_TV6_TH20.0dB,4,10,2,6,100,20,37,2,13,0.948717948717949,0.74,0.831460674157303,3.98954526192274,2.09444170601677,0.2,0.586094576940831
GR4_TR6_GV2_TV6_TH21.0dB,4,6,2,6,125.892541179417,21,37,2,13,0.948717948717949,0.74,0.831460674157303,3.98954526192274,2.09444170601677,0.2,0.586094576940831
GR4_TR8_GV2_TV6_TH21.0dB,4,8,2,6,125.892541179417,21,37,2,13,0.948717948717949,0.74,0.831460674157303,3.98954526192274,2.09444170601677,0.2,0.586094576940831
GR4_TR10_GV2_TV6_TH21.0dB,4,10,2,6,125.892541179417,21,37,2,13,0.948717948717949,0.74,0.831460674157303,3.98954526192274,2.09444170601677,0.2,0.586094576940831
GR6_TR10_GV2_TV6_TH21.0dB,6,10,2,6,125.892541179417,21,37,2,13,0.948717948717949,0.74,0.831460674157303,3.98954526192274,2.09444170601677,0.2,0.586094576940831
GR8_TR10_GV2_TV6_TH21.0dB,8,10,2,6,125.892541179417,21,37,2,13,0.948717948717949,0.74,0.831460674157303,3.98954526192274,2.09444170601677,0.2,0.586094576940831
GR6_TR8_GV2_TV6_TH22.0dB,6,8,2,6,158.489319246111,22,35,1,15,0.972222222222222,0.7,0.813953488372093,3.78080832486508,2.2065763199146,0.1,0.578781545730547
GR4_TR8_GV2_TV8_TH21.0dB,4,8,2,8,125.892541179417,21,36,2,14,0.947368421052632,0.72,0.818181818181818,3.92274189205934,2.15204421061409,0.2,0.57500383936657
GR6_TR10_GV2_TV10_TH21.0dB,6,10,2,10,125.892541179417,21,36,2,14,0.947368421052632,0.72,0.818181818181818,3.92274189205934,2.15204421061409,0.2,0.57500383936657
GR8_TR10_GV2_TV10_TH21.0dB,8,10,2,10,125.892541179417,21,36,2,14,0.947368421052632,0.72,0.818181818181818,3.92274189205934,2.15204421061409,0.2,0.57500383936657
GR6_TR10_GV2_TV6_TH20.0dB,6,10,2,6,100,20,37,3,13,0.925,0.74,0.822222222222222,3.98954526192274,2.09444170601677,0.3,0.57485612500575
GR8_TR10_GV2_TV6_TH20.0dB,8,10,2,6,100,20,37,3,13,0.925,0.74,0.822222222222222,3.98954526192274,2.09444170601677,0.3,0.57485612500575
GR6_TR8_GV2_TV6_TH21.0dB,6,8,2,6,125.892541179417,21,37,3,13,0.925,0.74,0.822222222222222,3.98954526192274,2.09444170601677,0.3,0.57485612500575
GR6_TR10_GV2_TV8_TH22.0dB,6,10,2,8,158.489319246111,22,34,1,16,0.971428571428571,0.68,0.8,3.70393602333154,2.27086528401465,0.1,0.56738589315313
GR8_TR10_GV2_TV8_TH22.0dB,8,10,2,8,158.489319246111,22,34,1,16,0.971428571428571,0.68,0.8,3.70393602333154,2.27086528401465,0.1,0.56738589315313
GR6_TR10_GV2_TV12_TH22.0dB,6,10,2,12,158.489319246111,22,34,1,16,0.971428571428571,0.68,0.8,3.70393602333154,2.27086528401465,0.1,0.56738589315313
GR4_TR10_GV2_TV14_TH22.0dB,4,10,2,14,158.489319246111,22,34,1,16,0.971428571428571,0.68,0.8,3.70393602333154,2.27086528401465,0.1,0.56738589315313
GR6_TR10_GV2_TV14_TH22.0dB,6,10,2,14,158.489319246111,22,34,1,16,0.971428571428571,0.68,0.8,3.70393602333154,2.27086528401465,0.1,0.56738589315313
GR6_TR8_GV4_TV6_TH21.0dB,6,8,4,6,125.892541179417,21,37,3,13,0.925,0.74,0.822222222222222,4.16308011092154,2.09444170601677,0.3,0.56617938255581
GR2_TR24_GV2_TV10_TH21.0dB,2,24,2,10,125.892541179417,21,36,3,14,0.923076923076923,0.72,0.808988764044944,3.87630745379605,2.15204421061409,0.3,0.56613250714286
GR2_TR24_GV4_TV10_TH21.0dB,2,24,4,10,125.892541179417,21,36,3,14,0.923076923076923,0.72,0.808988764044944,3.87630745379605,2.15204421061409,0.3,0.56613250714286
GR2_TR22_GV2_TV12_TH21.0dB,2,22,2,12,125.892541179417,21,36,3,14,0.923076923076923,0.72,0.808988764044944,3.87630745379605,2.15204421061409,0.3,0.56613250714286
GR2_TR24_GV2_TV12_TH21.0dB,2,24,2,12,125.892541179417,21,36,3,14,0.923076923076923,0.72,0.808988764044944,3.87630745379605,2.15204421061409,0.3,0.56613250714286
