truePositive,falseNegative,falsePositve,falseAlarmProb
3,2,1,0.25
4,1,3,0.428571428571429
3,2,4,0.571428571428571
5,0,1,0.166666666666667
4,1,0,0
5,0,0,0
3,2,6,0.666666666666667
5,0,0,0
4,1,1,0.2
3,2,2,0.4
4,1,0,0
4,1,2,0.333333333333333
4,1,2,0.333333333333333
4,1,5,0.555555555555556
4,1,1,0.2
5,0,3,0.375
3,2,1,0.25
3,2,0,0
5,0,2,0.285714285714286
2,3,0,0
3,2,3,0.5
4,1,1,0.2
5,0,3,0.375
5,0,0,0
5,0,3,0.375
3,2,0,0
4,1,2,0.333333333333333
5,0,2,0.285714285714286
4,1,1,0.2
4,1,0,0
4,1,0,0
4,1,0,0
5,0,0,0
4,1,2,0.333333333333333
5,0,4,0.444444444444444
4,1,0,0
3,2,4,0.571428571428571
4,1,3,0.428571428571429
5,0,1,0.166666666666667
3,2,0,0
5,0,5,0.5
5,0,1,0.166666666666667
3,2,2,0.4
4,1,7,0.636363636363636
2,3,0,0
5,0,3,0.375
5,0,1,0.166666666666667
3,2,1,0.25
4,1,1,0.2
3,2,0,0
