truePositive,falseNegative,falsePositve,falseAlarmProb
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
3,2,3,0.5
4,1,1,0.2
5,0,0,0
5,0,1,0.166666666666667
4,1,0,0
5,0,0,0
5,0,0,0
5,0,2,0.285714285714286
5,0,0,0
5,0,0,0
3,2,0,0
5,0,0,0
5,0,1,0.166666666666667
5,0,0,0
5,0,0,0
5,0,1,0.166666666666667
5,0,0,0
4,1,0,0
4,1,1,0.2
4,1,0,0
5,0,0,0
5,0,1,0.166666666666667
5,0,0,0
5,0,0,0
5,0,0,0
4,1,0,0
4,1,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,2,0.285714285714286
4,1,0,0
5,0,1,0.166666666666667
5,0,0,0
4,1,1,0.2
5,0,0,0
5,0,1,0.166666666666667
5,0,0,0
5,0,0,0
4,1,1,0.2
5,0,0,0
4,1,1,0.2
5,0,0,0
5,0,0,0
5,0,2,0.285714285714286
5,0,0,0
