truePositive,falseNegative,falsePositve,falseAlarmProb
5,0,0,0
3,2,1,0.25
5,0,0,0
5,0,1,0.166666666666667
5,0,0,0
4,1,0,0
5,0,2,0.285714285714286
5,0,0,0
5,0,0,0
4,1,0,0
5,0,0,0
4,1,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
4,1,0,0
3,2,2,0.4
5,0,0,0
5,0,1,0.166666666666667
4,1,0,0
5,0,0,0
5,0,0,0
4,1,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
4,1,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
3,2,0,0
5,0,0,0
5,0,0,0
3,2,0,0
4,1,7,0.636363636363636
4,1,0,0
5,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
3,2,2,0.4
4,1,0,0
